fecha,pts_restantes_reales,pts_restantes_ideal,pts_completados_hoy
2026-05-26,96,96.0,0
2026-05-27,96,92.6,0
2026-05-28,92,89.1,4
2026-05-29,92,85.7,0
2026-05-30,92,82.3,0
2026-05-31,90,78.9,2
2026-06-01,84,75.4,6
2026-06-02,84,72.0,0
2026-06-03,84,68.6,0
2026-06-04,82,65.1,2
2026-06-05,76,61.7,6
2026-06-06,71,58.3,5
2026-06-07,71,54.9,0
2026-06-08,71,51.4,0
2026-06-09,63,48.0,8
2026-06-10,60,44.6,3
2026-06-11,60,41.1,0
2026-06-12,48,37.7,12
2026-06-13,45,34.3,3
2026-06-14,45,30.9,0
2026-06-15,45,27.4,0
2026-06-16,40,24.0,5
2026-06-17,37,20.6,3
2026-06-18,30,17.1,7
2026-06-19,25,13.7,5
2026-06-20,19,10.3,6
2026-06-21,19,6.9,0
2026-06-22,19,3.4,0
2026-06-23,19,0.0,0
